inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,has_electricity_missing,has_drinking_water_missing,has_functional_toilet_missing,has_boundary_wall_missing,has_playground_missing,functional_facility_count,all_core_facilities_available
INSP02966,2025-04-02,SCH0476,,True,True,True,,Fariq Tripathi,Good condition,True,False,False,False,True,3,False
INSP00970,2025-05-13,SCH0337,True,True,True,True,,Unnati Kulkarni,Good condition,False,False,False,False,True,4,False
INSP01386,2025-06-26,SCH0127,True,True,False,True,True,Girik Natt,Toilets locked,False,False,False,False,False,4,False
INSP01234,2025-06-02,SCH0372,False,False,True,True,False,Rudra Kurian,Good condition,False,False,False,False,False,2,False
INSP02997,2025-10-29,SCH0517,True,True,True,True,False,Mohammed Dara,Average,False,False,False,False,False,4,False
INSP02408,2025-10-30,SCH0334,,False,True,False,True,,No remarks,True,False,False,False,False,2,False
INSP02849,2025-07-23,SCH0229,True,True,True,True,False,Meera Sachar,Needs repair,False,False,False,False,False,4,False
INSP01240,2025-12-29,SCH0072,True,True,True,False,False,Shivani Konda,Toilets locked,False,False,False,False,False,3,False
INSP02649,2026-01-20,SCH0516,True,True,True,True,True,Yachana Mody,Good condition,False,False,False,False,False,5,True
INSP01667,2025-05-12,SCH0182,True,True,True,,True,Eiravati Choudhry,Good condition,False,False,False,True,False,4,False
INSP02398,2026-01-05,SCH0221,True,False,True,False,True,Ira Choudhary,No remarks,False,False,False,False,False,3,False
INSP01451,2025-12-29,SCH0026,True,False,True,True,True,,Needs repair,False,False,False,False,False,4,False
INSP00613,2025-10-04,SCH0092,True,True,True,,False,Maya Chada,Good condition,False,False,False,True,False,3,False
INSP01189,2025-12-25,SCH0063,True,False,True,True,False,Caleb Lala,Toilets locked,False,False,False,False,False,3,False
INSP00832,2025-10-02,SCH0509,False,,True,True,False,Xavier Gade,,False,True,False,False,False,2,False
INSP02501,2025-05-10,SCH0033,True,True,True,False,False,Kamya Ravi,Toilets locked,False,False,False,False,False,3,False
INSP00333,2025-09-10,SCH0477,True,,True,False,True,Jasmit Ramachandran,Toilets locked,False,True,False,False,False,3,False
INSP02727,2025-10-06,SCH0522,,True,True,True,True,Chasmum Uppal,Good condition,True,False,False,False,False,4,False
INSP00145,2025-11-22,SCH0215,False,True,True,True,False,Yachana Mangat,Toilets locked,False,False,False,False,False,3,False
INSP02233,2025-10-23,SCH0428,True,True,True,True,False,Samaksh Khare,Average,False,False,False,False,False,4,False
INSP01671,2025-12-22,SCH0042,True,True,True,,,Manan Mangat,Needs repair,False,False,False,True,True,3,False
INSP01776,2025-09-14,SCH0403,False,True,True,True,,Manbir Sodhi,Needs repair,False,False,False,False,True,3,False
INSP01733,2025-10-23,SCH0175,True,,False,True,True,Qarin Nayar,Toilets locked,False,True,False,False,False,3,False
INSP02204,2026-02-06,SCH0010,False,True,True,False,True,,,False,False,False,False,False,3,False
INSP02552,2025-08-04,SCH0140,False,True,True,True,True,Gaurangi Ratti,Toilets locked,False,False,False,False,False,4,False
INSP00219,2025-09-09,SCH0325,False,True,True,True,False,Zehaan Deshpande,Average,False,False,False,False,False,3,False
INSP00292,2025-11-25,SCH0371,True,True,True,False,True,Chasmum Ganguly,No remarks,False,False,False,False,False,4,False
INSP02177,2025-04-26,SCH0583,True,True,,,True,Jonathan Jain,Good condition,False,False,True,True,False,3,False
INSP00818,2025-09-16,SCH0078,True,False,True,True,False,Krishna Gaba,Average,False,False,False,False,False,3,False
INSP00602,2025-11-20,SCH0360,True,True,True,True,False,Umang Sagar,Average,False,False,False,False,False,4,False
INSP00018,2026-03-15,SCH0582,True,True,,True,False,Unnati Goel,,False,False,True,False,False,3,False
INSP00171,2025-04-02,SCH0067,False,True,False,,False,Sneha Ghosh,Good condition,False,False,False,True,False,1,False
INSP01738,2025-10-02,SCH0230,True,True,True,False,False,Osha Bajwa,,False,False,False,False,False,3,False
INSP02283,2025-09-21,SCH0559,True,True,True,True,True,Sai Warrior,Average,False,False,False,False,False,5,True
INSP02803,2026-02-19,SCH0238,False,True,True,,False,Ekaraj Sehgal,,False,False,False,True,False,2,False
INSP01408,2026-03-10,SCH0274,,True,True,False,,Kamala Roy,Average,True,False,False,False,True,2,False
INSP00179,2025-09-12,SCH0577,True,,True,True,True,Riya Kant,Good condition,False,True,False,False,False,4,False
INSP01337,2025-06-03,SCH0011,,True,True,False,False,Imaran Tandon,Toilets locked,True,False,False,False,False,2,False
INSP01815,2025-05-01,SCH0240,False,False,True,True,False,Lavanya Choudhry,Average,False,False,False,False,False,2,False
INSP02205,2025-11-07,SCH0037,True,True,True,False,False,Rudra Bail,Toilets locked,False,False,False,False,False,3,False
INSP01412,2025-08-05,SCH0596,False,True,True,,,Sai Bhasin,Average,False,False,False,True,True,2,False
INSP02746,2025-11-13,SCH0422,True,True,True,True,,Isaac Kalla,,False,False,False,False,True,4,False
INSP01663,2026-03-06,SCH0456,False,True,True,False,,Neel Ganesh,Needs repair,False,False,False,False,True,2,False
INSP01227,2025-06-29,SCH0398,True,False,,True,True,Isaiah Mangat,,False,False,True,False,False,3,False
INSP02025,2025-10-08,SCH0219,True,True,True,True,True,Bhanumati Chaudhari,,False,False,False,False,False,5,True
INSP02771,2026-02-03,SCH0339,True,True,True,True,False,Rajata Mistry,Toilets locked,False,False,False,False,False,4,False
INSP02097,2025-05-05,SCH0564,,False,True,True,,Laksh Dugar,Good condition,True,False,False,False,True,2,False
INSP00135,2026-09-03,SCH0542,,,True,False,True,Jackson Narasimhan,Toilets locked,True,True,False,False,False,2,False
INSP02846,2026-02-12,SCH0258,False,True,True,True,False,Ishanvi Arya,Average,False,False,False,False,False,3,False
INSP02987,2025-06-24,SCH0131,,True,True,False,True,Kevin Gade,Needs repair,True,False,False,False,False,3,False
INSP00103,2026-02-24,SCH0022,True,True,True,True,True,Netra Ram,Average,False,False,False,False,False,5,True
INSP00415,2025-11-05,SCH0093,True,True,True,True,True,Liam Sibal,Average,False,False,False,False,False,5,True
INSP02697,2026-02-12,SCH0122,True,True,True,False,True,Hritik Naidu,Toilets locked,False,False,False,False,False,4,False
INSP01484,2025-12-21,SCH0362,True,True,True,True,True,Hamsini Pandya,Toilets locked,False,False,False,False,False,5,True
INSP01188,2025-06-15,SCH0005,False,,True,False,True,Max Shenoy,Toilets locked,False,True,False,False,False,2,False
INSP01730,2025-10-26,SCH0476,False,True,True,True,False,,Good condition,False,False,False,False,False,3,False
INSP02006,2025-08-02,SCH0075,,True,True,,False,Zashil Hegde,Average,True,False,False,True,False,2,False
INSP02154,2025-10-12,SCH0434,True,False,True,True,,,No remarks,False,False,False,False,True,3,False
INSP02572,2025-04-28,SCH0556,True,False,True,,True,Girindra Tiwari,,False,False,False,True,False,3,False
INSP01147,2025-09-30,SCH0535,True,False,True,False,False,Vritti Agarwal,No remarks,False,False,False,False,False,2,False
INSP00310,2026-02-20,SCH0037,True,True,True,True,,,,False,False,False,False,True,4,False
INSP02274,2025-12-19,SCH0434,True,True,True,True,,Baghyawati Chana,Toilets locked,False,False,False,False,True,4,False
INSP02440,2026-01-09,SCH0458,False,True,True,True,False,Shivansh Trivedi,Toilets locked,False,False,False,False,False,3,False
INSP00193,2026-03-12,SCH0533,False,True,True,True,True,Shivansh Tara,No remarks,False,False,False,False,False,4,False
INSP00195,2025-12-07,SCH0346,True,True,True,True,False,Nimrat Hayer,Toilets locked,False,False,False,False,False,4,False
INSP00777,2025-06-18,SCH0058,True,False,True,True,False,Oeshi Pradhan,Needs repair,False,False,False,False,False,3,False
INSP01678,2026-03-24,SCH0263,True,,True,True,False,Fitan Halder,Toilets locked,False,True,False,False,False,3,False
INSP01236,2025-11-03,SCH0442,False,True,False,False,False,,Good condition,False,False,False,False,False,1,False
INSP01394,2025-09-14,SCH0261,True,True,True,False,False,Yamini Naidu,Needs repair,False,False,False,False,False,3,False
INSP00045,2025-04-11,SCH0003,True,True,False,True,True,Nicholas Keer,No remarks,False,False,False,False,False,4,False
INSP01765,2025-04-28,SCH0167,False,True,False,False,False,Zinal Bhavsar,Average,False,False,False,False,False,1,False
INSP00946,2025-06-09,SCH0129,True,True,True,False,True,Isaac Khatri,,False,False,False,False,False,4,False
INSP02052,2025-08-18,SCH0398,True,True,False,True,False,Peter Mody,No remarks,False,False,False,False,False,3,False
INSP00830,2025-07-20,SCH0526,True,False,,True,False,Yatin Ghose,Toilets locked,False,False,True,False,False,2,False
INSP02967,2025-09-16,SCH0153,False,True,True,False,False,Falak Jaggi,Good condition,False,False,False,False,False,2,False
INSP02922,2026-02-04,SCH0194,True,,True,True,False,Isaiah Nagarajan,,False,True,False,False,False,3,False
INSP01279,2025-12-13,SCH0475,True,True,False,True,,Ekani Oommen,Average,False,False,False,False,True,3,False
INSP02900,2025-06-28,SCH0138,False,True,True,True,False,Maya Sastry,,False,False,False,False,False,3,False
INSP02808,2025-04-30,SCH0052,False,True,True,False,True,Vyanjana Badal,Good condition,False,False,False,False,False,3,False
INSP01802,2026-02-28,SCH0364,False,True,True,True,False,Aishani Dhillon,Needs repair,False,False,False,False,False,3,False
INSP00486,2025-09-06,SCH0501,,True,True,False,True,Faras Yohannan,Average,True,False,False,False,False,3,False
INSP02372,2026-03-13,SCH0600,True,False,True,True,False,Upkaar Narang,Good condition,False,False,False,False,False,3,False
INSP00443,2025-05-15,SCH0530,True,False,True,True,,Gauri Deshmukh,Average,False,False,False,False,True,3,False
INSP01642,2025-11-26,SCH0239,True,True,True,,True,Vasudha Jayaraman,Average,False,False,False,True,False,4,False
INSP02598,2025-04-28,SCH0223,True,True,True,True,True,Pranav Master,Average,False,False,False,False,False,5,True
INSP01714,2025-07-05,SCH0320,False,True,True,True,True,,Good condition,False,False,False,False,False,4,False
INSP02982,2025-09-26,SCH0169,,True,,,True,Sanya Choudhry,Toilets locked,True,False,True,True,False,2,False
INSP00757,2025-10-22,SCH0129,False,,True,False,True,Bhanumati Sridhar,Needs repair,False,True,False,False,False,2,False
INSP01881,2025-04-29,SCH0593,True,True,True,True,False,Hemani Chander,No remarks,False,False,False,False,False,4,False
INSP00241,2025-11-09,SCH0360,True,True,True,True,True,Peter Rajagopalan,Needs repair,False,False,False,False,False,5,True
INSP02355,2026-01-22,SCH0211,True,True,False,True,True,Alexander Gokhale,,False,False,False,False,False,4,False
INSP01666,2025-12-27,SCH0199,True,True,False,False,False,Diya Saini,,False,False,False,False,False,2,False
INSP02431,2026-03-16,SCH0083,True,True,True,False,True,Ikshita Dhillon,No remarks,False,False,False,False,False,4,False
INSP01744,2026-10-02,SCH0308,,True,True,False,True,Ekansh Bhandari,No remarks,True,False,False,False,False,3,False
INSP00140,2025-07-10,SCH0103,True,True,False,True,False,Zaitra Chandran,Good condition,False,False,False,False,False,3,False
INSP00347,2025-09-16,SCH0194,,True,False,,True,Neel Murthy,,True,False,False,True,False,2,False
INSP01537,2025-10-29,SCH0105,True,True,True,False,True,Chandran Gopal,,False,False,False,False,False,4,False
INSP00315,2025-11-13,SCH0483,True,True,True,False,False,Anvi Tara,Needs repair,False,False,False,False,False,3,False
INSP01743,2026-02-06,SCH0257,True,True,True,True,True,,,False,False,False,False,False,5,True
INSP00323,2025-10-02,SCH0316,True,True,True,False,,Raksha Jain,Good condition,False,False,False,False,True,3,False
INSP01682,2026-01-07,SCH0302,True,True,True,True,True,Vaishnavi Rau,Average,False,False,False,False,False,5,True
INSP01460,2025-05-09,SCH0289,True,False,True,,,Charles Bahri,Average,False,False,False,True,True,2,False
INSP02034,2026-01-12,SCH0386,True,False,False,False,False,Zarna Rau,,False,False,False,False,False,1,False
INSP00257,2025-07-21,SCH0408,,True,,True,True,Advay Rama,Average,True,False,True,False,False,3,False
INSP02300,2026-01-17,SCH0566,,False,True,False,True,Balhaar Wable,Toilets locked,True,False,False,False,False,2,False
INSP01732,2025-12-11,SCH0529,True,False,False,True,False,Dalaja Lala,Needs repair,False,False,False,False,False,2,False
INSP02601,2026-03-01,SCH0154,True,True,True,False,,Vrishti Dugar,Toilets locked,False,False,False,False,True,3,False
INSP00204,2025-06-09,SCH0590,True,True,,True,True,Jacob Mani,No remarks,False,False,True,False,False,4,False
INSP01785,2025-03-04,SCH0488,False,True,True,False,False,Vidhi Om,Good condition,False,False,False,False,False,2,False
INSP00299,2025-12-14,SCH0599,False,True,,False,False,Odika Bhandari,,False,False,True,False,False,1,False
INSP00052,2025-12-07,SCH0320,False,True,True,False,False,Daksha Kapadia,Good condition,False,False,False,False,False,2,False
INSP00215,2025-05-19,SCH0419,True,True,True,False,False,Ikbal Nagy,Needs repair,False,False,False,False,False,3,False
INSP00064,2026-03-03,SCH0051,True,True,True,False,False,Forum Choudhary,Toilets locked,False,False,False,False,False,3,False
INSP02497,2026-02-23,SCH0004,True,True,True,True,False,Ayushman Vyas,Needs repair,False,False,False,False,False,4,False
