inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks
INSP02966,2025/04/02,sch_0476,H,True,True,Yes,,Fariq Tripathi,Good condition
INSP00970,13.05.2025,SCH0337,True,True,Yes,True,H,Unnati Kulkarni,Good condition
INSP01386,2025/06/26,SCH0127,True,True,False,Working,Functional,Girik Natt,Toilets locked
INSP01234,02-Jun-2025,SCH0372,False,No,True,True,Broken,Rudra Kurian,Good condition
INSP02997,2025/10/29,sch0517,True,True,True,True,False,Mohammed Dara,Average
INSP02408,10-30-2025,sch_0334,,False,True,False,True,,No remarks
INSP02849,23.07.2025,S0229,Y,True,True,Yes,Broken,Meera Sachar,Needs repair
INSP01240,2025-12-29,0072,True,1,haan,False,0,Shivani Konda,Toilets locked
INSP02649,2026-01-20,SCH0516,True,Yes,Working,Haan,1,Yachana Mody,Good condition
INSP01667,2025/05/12,sch_0182,Hai,Hai,haan,na,haan,Eiravati Choudhry,Good condition
INSP02398,05/01/2026,SCH0221,Yes,No,Haan,0,Yes,Ira Choudhary,No remarks
INSP01451,2025-12-29,S0026,True,False,True,True,Yes,,Needs repair
INSP00613,2025-10-04,SCH0092,Haan,True,Available,,False,Maya Chada,Good condition
INSP01189,2025-12-25,sch0063,True,0,True,True,False,Caleb Lala,Toilets locked
INSP00832,02-Oct-2025,S0509,Broken,,True,True,False,Xavier Gade,
INSP02501,2025/05/10,SCH-0033,Available,True,True,No,Nahi,Kamya Ravi,Toilets locked
INSP00333,10/09/2025,SCH0477,Available,,haan,False,True,Jasmit Ramachandran,Toilets locked
INSP02727,2025/10/06,SCH0522,H,Haan,Working,Working,Yes,Chasmum Uppal,Good condition
INSP00145,22/11/2025,sch_0215,No,True,True,True,Kharab,Yachana Mangat,Toilets locked
INSP02233,23-Oct-2025,SCH0428,True,True,True,True,Nahi,Samaksh Khare,Average
INSP01671,2025-12-22,S0042,True,Functional,Working,Under Repair,H,Manan Mangat,Needs repair
INSP01776,14/09/2025,S0403,False,1,Y,1,,Manbir Sodhi,Needs repair
INSP01733,23-Oct-2025,SCH0175,Y,H,False,True,True,Qarin Nayar,Toilets locked
INSP02204,06.02.2026,0010,0,True,1,No,Yes,,
INSP02552,04-08-2025,SCH-0140,False,True,True,Functional,Yes,Gaurangi Ratti,Toilets locked
INSP00219,09.09.2025,sch_0325,N,Yes,True,True,False,Zehaan Deshpande,Average
INSP00292,25.11.2025,0371,True,True,True,False,1,Chasmum Ganguly,No remarks
